City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
435,Impfondo,CG,1.6381,18.0667,72.77,89,88,1.48,light rain
436,Oyon,PE,-10.6681,-76.7731,47.52,83,94,1.97,overcast clouds
437,Chibuto,MZ,-24.6867,33.5306,68.38,93,0,4.99,clear sky
438,General Pico,AR,-35.6566,-63.7568,71.91,47,89,8.61,overcast clouds
439,Morro Bay,US,35.3658,-120.8499,85.71,52,4,8.01,clear sky
440,Ojinaga,MX,29.5667,-104.4167,94.57,15,0,3.44,clear sky
441,Ahipara,NZ,-35.1667,173.1667,65.35,72,96,11.95,overcast clouds
442,Nova Odesa,UA,47.3078,31.7851,52.32,78,94,5.32,overcast clouds
443,Alta,NO,69.9689,23.2717,34.86,83,100,2.3,light rain
444,Port Augusta,AU,-32.5,137.7667,68.47,56,100,11.59,overcast clouds
445,Juneau,US,58.3019,-134.4197,49.84,78,100,5.75,overcast clouds
446,Ipil,PH,7.75,122.5167,78.03,87,95,2.06,overcast clouds
447,Hirara,JP,24.8,125.2833,78.08,89,0,12.3,clear sky
448,Alice Springs,AU,-23.7,133.8833,62.15,94,100,6.91,overcast clouds
449,Trincomalee,LK,8.5711,81.2335,80.58,82,21,6.4,few clouds
450,Mopipi,BW,-21.1833,24.8833,74.1,42,75,5.28,broken clouds
451,Adre,TD,13.4667,22.2,82.02,21,43,6.96,scattered clouds
452,Aksay,RU,47.26,39.87,57.25,60,0,5.99,clear sky
453,Winslow,US,35.0242,-110.6974,64.58,8,0,13.8,clear sky
454,San Carlos,VE,9.6612,-68.5827,85.1,53,94,4.74,overcast clouds
455,Novoagansk,RU,61.9449,76.6625,19.83,98,100,1.7,overcast clouds
456,Kapit,MY,2.0167,112.9333,74.39,99,99,0.45,light rain
457,Windsor,CA,42.3001,-83.0165,82.74,41,0,19.57,clear sky
458,Kisesa,TZ,-3.0833,34.15,62.37,95,100,3.69,light rain
459,Port Pirie,AU,-33.1833,138.0167,59.09,55,84,12.71,broken clouds
460,Chivilcoy,AR,-34.8957,-60.0167,69.94,45,27,13.24,scattered clouds
461,Monte Alegre,BR,-2.0078,-54.0692,76.33,89,42,3.13,scattered clouds
462,Lincoln,US,40.8,-96.667,55.17,46,100,17.27,overcast clouds
463,Yar-Sale,RU,66.8333,70.8333,-0.38,99,29,3.87,scattered clouds
464,Coari,BR,-4.085,-63.1414,76.39,93,94,2.39,overcast clouds
465,Morondava,MG,-20.2833,44.2833,76.6,83,100,10.13,overcast clouds
466,Olafsvik,IS,64.8945,-23.7142,45.79,75,95,7.11,overcast clouds
467,Sabha,LY,27.0377,14.4283,73.89,10,98,13.96,overcast clouds
468,Barysh,RU,53.6553,47.1123,51.12,78,100,6.71,overcast clouds
469,Lasa,IT,46.6166,10.7002,42.69,93,81,3.6,broken clouds
