City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Bogande,BF,89.6,scattered clouds,12.9714,-0.1436,Auberge Wendkouni
163,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
167,Pahrump,US,77.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
168,Innisfail,AU,76.98,overcast clouds,-17.5333,146.0333,Moondarra Motel
169,Waingapu,ID,77.74,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
171,Polonnaruwa,LK,75.58,scattered clouds,7.9333,81.0,Thisara Guest House
183,Cockburn Town,TC,77.77,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
184,Tainan,TW,80.87,scattered clouds,22.9908,120.2133,Tie Dao Hotel
185,Hamilton,US,81.23,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
189,Porterville,US,81.59,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
196,Kununurra,AU,73.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
197,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
205,Pemangkat,ID,79.02,overcast clouds,1.1667,108.9667,Ramah Kost KITA
206,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
207,Coxim,BR,82.47,broken clouds,-18.5067,-54.76,Hotel Avenida
208,San Policarpo,PH,81.39,light rain,12.1791,125.5072,Agapita M. Nicart
209,Bambous Virieux,MU,75.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
210,Sao Filipe,CV,74.71,few clouds,14.8961,-24.4956,Hotel Xaguate
211,Namatanai,PG,83.77,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
214,Touros,BR,77.11,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
215,Faanui,PF,81.27,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Maldonado,UY,72.23,clear sky,-34.6667,-54.9167,La Cimarrona
218,Jieshi,CN,80.94,clear sky,22.8134,115.8257,Yuehai Hotel
226,Souillac,MU,75.78,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
228,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
230,Mackay,AU,73.69,overcast clouds,-21.15,149.2,International Lodge Motel
233,Puerto Ayora,EC,74.37,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
234,Meulaboh,ID,77.47,broken clouds,4.1363,96.1285,Kost Pria
236,Muisne,EC,78.21,broken clouds,0.6,-80.0333,Quinta Samay
241,Caravelas,BR,78.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
242,Salalah,OM,79.61,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
247,Linguere,SN,87.55,clear sky,15.3953,-15.1193,AYO Casablanca
249,Sharjah,AE,78.91,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
254,Beitbridge,ZW,73.22,clear sky,-22.2167,30.0,Beitbridge Express Hotel
255,Dingle,PH,79.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
260,Margosatubig,PH,79.95,overcast clouds,7.5777,123.1658,Ojic billiard center
264,Kavaratti,IN,83.43,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
267,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
269,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
275,Paita,PE,70.59,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
284,Nsanje,MW,70.34,clear sky,-16.92,35.262,Nsanje Discovery Lodge
286,Ukiah,US,79.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
287,Senador Guiomard,BR,78.55,broken clouds,-10.1522,-67.7392,Paraíso Hotel
290,Jacareacanga,BR,77.13,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
296,Marawi,PH,72.12,broken clouds,7.9986,124.2928,Derogongan Residence
299,Prestea,GH,74.41,overcast clouds,5.4327,-2.1428,Channel 5
300,Portland,US,72.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
302,Alofi,NU,77.86,light rain,-19.0595,-169.9187,Taloa Heights
304,Port Blair,IN,81.41,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
305,Celestun,MX,84.16,few clouds,20.8667,-90.4,Posada Lilia
311,Kotma,IN,75.85,clear sky,23.2,81.9667,Adil ka ghar
313,Haimen,CN,76.46,clear sky,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
314,Pizarro,CO,79.7,broken clouds,4.9533,-77.366,Hotel Limonar
315,Pinotepa Nacional,MX,87.35,clear sky,16.3167,-98.0167,Hotel Maria Del Carmen
316,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
320,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
321,Kerema,PG,82.29,scattered clouds,-7.9631,145.7785,Frena Lodge
322,Hobyo,SO,83.03,clear sky,5.3505,48.5268,Iftin hotel hobyo
323,Puerto Rico,AR,73.54,few clouds,-26.796,-55.024,Hotel Cabañas del Prado
330,Itarema,BR,76.57,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
333,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
334,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
339,Voh,NC,77.54,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
341,Zaraza,VE,81.32,broken clouds,9.3503,-65.3245,Hotel Zaraza
342,Caraballeda,VE,84.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
344,Hambantota,LK,80.31,overcast clouds,6.1241,81.1185,Bungalow 63
346,Santa Rosa,PH,83.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
347,Coahuayana,MX,83.66,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
348,Camopi,GF,73.65,scattered clouds,3.1655,-52.3158,La pousada
352,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
354,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
356,Pital,CO,71.31,heavy intensity rain,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
358,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
362,Dutse,NG,87.21,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
363,Najran,SA,73.44,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
365,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
367,Villa Bruzual,VE,87.67,overcast clouds,9.3328,-69.1208,hotel italia
370,Lompoc,US,82.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
376,Sur,OM,84.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
379,Pacific Grove,US,74.55,clear sky,36.6177,-121.9166,Lovers Point Inn
380,San Patricio,US,84.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
381,Tual,ID,83.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
383,Kroya,ID,77.81,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
384,Akyab,MM,80.51,few clouds,20.15,92.9,Hotel Memory
385,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
392,Babina,IN,85.53,clear sky,25.25,78.4667,Tuntun Dhaba
397,Shwebo,MM,84.51,clear sky,22.5667,95.7,MOON SHINE Guest House
398,Atar,MR,79.86,clear sky,20.5169,-13.0499,Oumou Elghoura
406,Lamu,KE,81.52,broken clouds,-2.2717,40.902,Lamu House
407,Inhambane,MZ,74.1,clear sky,-23.865,35.3833,Oceano
408,Calamar,CO,82.44,overcast clouds,10.2511,-74.9146,Hostal Katyalex
413,Pombas,CV,71.38,broken clouds,17.1503,-25.0201,Paul Paradis
